,date,open,high,low,close,volume,change
0,2009-01-02,179000,180000,173500,175000,65080,-0.022346368715083772
1,2009-01-05,178500,179000,174000,174500,59067,-0.0028571428571428914
2,2009-01-06,174500,179500,171500,172000,101280,-0.014326647564469884
3,2009-01-07,173000,174000,163000,165000,252929,-0.04069767441860461
4,2009-01-08,166000,168500,159500,160500,153061,-0.027272727272727226
5,2009-01-09,163000,165000,159500,161000,159164,0.003115264797507677
6,2009-01-12,162500,168500,161500,167500,166139,0.04037267080745344
7,2009-01-13,168500,168500,161500,168000,79493,0.0029850746268655914
8,2009-01-14,168000,169000,165000,168500,95355,0.0029761904761904656
9,2009-01-15,163500,163500,150000,150000,114358,-0.10979228486646886
10,2009-01-16,151500,157500,148500,157500,73045,0.05000000000000005
11,2009-01-19,159000,161500,155000,161000,100207,0.022222222222222143
12,2009-01-20,159500,160500,154500,156000,43474,-0.031055900621117963
13,2009-01-21,148500,160500,148500,159500,50180,0.02243589743589736
14,2009-01-22,161000,161500,155000,161000,73607,0.00940438871473348
15,2009-01-23,159000,160500,155500,159500,35208,-0.009316770186335366
16,2009-01-28,160500,162000,158500,160000,60544,0.0031347962382444194
17,2009-01-29,161000,162500,156500,159000,68939,-0.006249999999999978
18,2009-01-30,158500,160000,153000,155000,86937,-0.02515723270440251
19,2009-02-02,156000,156000,150500,151000,52225,-0.02580645161290318
20,2009-02-03,151000,151500,147500,147500,112215,-0.023178807947019875
21,2009-02-04,150500,151000,145000,146500,175262,-0.006779661016949157
22,2009-02-05,148000,154000,147000,148500,242912,0.013651877133105785
23,2009-02-06,150000,151500,146500,148500,119106,0.0
24,2009-02-09,150500,151000,145000,145500,179854,-0.020202020202020218
25,2009-02-10,146500,147000,142500,145000,86701,-0.003436426116838476
26,2009-02-11,141500,144000,140500,142000,112554,-0.020689655172413838
27,2009-02-12,142500,145000,140000,143500,103777,0.010563380281690238
28,2009-02-13,144000,147500,141500,147000,85667,0.024390243902439046
29,2009-02-16,146000,149500,142500,142500,122568,-0.030612244897959218
30,2009-02-17,141500,142000,130000,130000,139900,-0.08771929824561409
31,2009-02-18,127000,128500,121500,127000,166313,-0.023076923076923102
32,2009-02-19,125500,131500,125500,130000,76617,0.023622047244094446
33,2009-02-20,127000,130500,121000,124500,98042,-0.04230769230769227
34,2009-02-23,123000,138000,122000,134500,167577,0.08032128514056236
35,2009-02-24,130500,137000,128000,134000,77793,-0.00371747211895912
36,2009-02-25,139500,140000,130500,130500,51670,-0.026119402985074647
37,2009-02-26,131000,134500,125000,126000,54429,-0.03448275862068961
38,2009-02-27,128000,129000,124500,126000,30480,0.0
39,2009-03-02,123000,125000,120000,120000,44742,-0.04761904761904767
40,2009-03-03,115000,129500,115000,128000,91300,0.06666666666666665
41,2009-03-04,128000,129500,124000,127000,68381,-0.0078125
42,2009-03-05,129000,131500,126500,126500,37735,-0.003937007874015741
43,2009-03-06,126500,132000,123500,132000,80288,0.04347826086956519
44,2009-03-09,135500,141500,133500,141500,133066,0.07196969696969703
45,2009-03-10,140500,145000,137000,144500,86427,0.02120141342756177
46,2009-03-11,149000,151500,145500,147000,147729,0.01730103806228378
47,2009-03-12,141000,142000,135000,135000,227647,-0.08163265306122447
48,2009-03-13,138500,145000,138000,142000,120849,0.051851851851851816
49,2009-03-16,145000,147500,141000,145000,56944,0.021126760563380254
50,2009-03-17,147500,149000,145500,147000,72349,0.013793103448275891
51,2009-03-18,149000,150000,141000,143000,89680,-0.027210884353741527
52,2009-03-19,145000,148000,144000,144000,68931,0.006993006993007089
53,2009-03-20,144000,146000,141500,143000,68571,-0.006944444444444421
54,2009-03-23,144000,146500,144000,146500,68225,0.02447552447552437
55,2009-03-24,150000,155000,146500,154500,153626,0.05460750853242313
56,2009-03-25,154000,156500,151000,153500,96863,-0.0064724919093851465
57,2009-03-26,155500,157000,152000,157000,121888,0.0228013029315961
58,2009-03-27,159500,160000,150000,150000,112096,-0.04458598726114649
59,2009-03-30,148500,150000,143000,143000,90552,-0.046666666666666634
60,2009-03-31,143500,145500,142000,144000,110564,0.006993006993007089
61,2009-04-01,144000,146500,140500,141000,162729,-0.02083333333333337
62,2009-04-02,143500,146000,143000,145500,256332,0.03191489361702127
63,2009-04-03,148000,152000,147000,152000,212740,0.044673539518900414
64,2009-04-06,153000,155500,151500,154000,149901,0.013157894736842035
65,2009-04-07,154500,155000,149000,152500,110790,-0.009740259740259716
66,2009-04-08,150000,151500,144500,144500,117096,-0.05245901639344264
67,2009-04-09,147000,150500,146000,148500,99139,0.02768166089965396
68,2009-04-10,151500,154000,147000,153000,164034,0.03030303030303028
69,2009-04-13,153500,156000,150500,155000,131363,0.013071895424836557
70,2009-04-14,156000,160000,149000,149500,200555,-0.03548387096774197
71,2009-04-15,147500,148500,142000,143500,148011,-0.04013377926421402
72,2009-04-16,147500,150500,146000,148500,127755,0.034843205574912835
73,2009-04-17,150500,151500,145000,146500,74879,-0.01346801346801352
