,date,open,high,low,close,volume,change
0,2009-01-02,32890,33575,31131,33135,2222075,-0.016765578635014818
1,2009-01-05,35187,38071,34308,37925,4263028,0.14456013279010116
2,2009-01-06,38120,39390,38071,39098,3407112,0.03092946605141722
3,2009-01-07,39048,40075,38315,39195,3646287,0.0024809453168959106
4,2009-01-08,38609,38706,36751,37338,3267917,-0.04737849215461154
5,2009-01-09,37680,38609,36165,36165,2957691,-0.03141571589265624
6,2009-01-12,35823,35823,34699,34797,1777159,-0.037826627955205305
7,2009-01-13,34454,36507,33721,36019,2209265,0.03511796993993732
8,2009-01-14,36556,37875,35578,37876,2141141,0.051556123157222584
9,2009-01-15,35676,35969,34406,34406,3414864,-0.09161474284507344
10,2009-01-16,34063,34699,32451,34553,3637116,0.004272510608614778
11,2009-01-19,34699,35578,34650,34797,1725577,0.007061615489248441
12,2009-01-20,33428,33770,32793,32940,2527499,-0.05336666954047764
13,2009-01-21,31278,32206,30545,31376,2786284,-0.04748026715239828
14,2009-01-22,33721,33721,32304,32695,2646045,0.042038500764915776
15,2009-01-23,31522,32060,30887,31180,1730122,-0.04633736045266856
16,2009-01-28,32255,34748,32255,34602,2739936,0.10974983964079543
17,2009-01-29,36263,36556,35481,35970,2766127,0.03953528697763131
18,2009-01-30,34699,36556,34503,36165,1619480,0.0054211843202669465
19,2009-02-02,35383,36067,34015,34357,1701046,-0.049993087239043284
20,2009-02-03,34357,36165,34063,35188,2222954,0.024187210757633082
21,2009-02-04,35774,36067,34454,34992,2026915,-0.0055700807093327365
22,2009-02-05,34406,34748,33233,33233,2865103,-0.0502686328303612
23,2009-02-06,34357,34748,33526,34748,2012859,0.04558721752474959
24,2009-02-09,35969,36458,34601,34944,3424084,0.005640612409347322
25,2009-02-10,35187,35432,34601,35090,1938138,0.004178113553113594
26,2009-02-11,32939,34063,32842,33771,2735201,-0.03758905671131374
27,2009-02-12,32988,33135,31766,31962,5300466,-0.05356666962778711
28,2009-02-13,31815,32646,31766,32647,2226890,0.021431700143920814
29,2009-02-16,31864,32548,31327,31425,3120081,-0.03743069807332988
30,2009-02-17,30838,31082,29323,29910,3279803,-0.04821002386634843
31,2009-02-18,28736,28834,27857,27857,4673862,-0.06863925108659308
32,2009-02-19,27857,28785,27417,27662,4063825,-0.007000035897619994
33,2009-02-20,27368,27710,25951,26733,2886763,-0.033583978020388934
34,2009-02-23,26195,27808,25609,27808,2700008,0.04021247147720053
35,2009-02-24,26195,26879,25902,26538,2374999,-0.04567031070195626
36,2009-02-25,28199,28345,26342,27026,3780913,0.01838872560102489
37,2009-02-26,27612,28345,26195,27173,2558254,0.005439206689854314
38,2009-02-27,27759,29274,26928,28737,3921999,0.057557133919699625
39,2009-03-02,27954,28492,27172,27466,3433278,-0.0442286947141316
40,2009-03-03,26684,27808,26146,27417,2653253,-0.0017840238840748368
41,2009-03-04,27075,28736,26293,28248,2980429,0.030309661888609174
42,2009-03-05,28541,28639,27368,27368,2775433,-0.03115264797507788
43,2009-03-06,26488,26879,26244,26293,2323941,-0.0392794504530839
44,2009-03-09,26781,26928,25706,26244,2358537,-0.001863613889628413
45,2009-03-10,25413,30154,25413,29323,6350798,0.117322054564853
46,2009-03-11,31082,31864,30398,31474,5181076,0.07335538655662788
47,2009-03-12,31082,31278,30007,31278,4678093,-0.006227362267268165
48,2009-03-13,32060,32157,30887,30887,3079141,-0.012500799283841624
49,2009-03-16,30838,32500,30789,31767,2944058,0.028490950885485814
50,2009-03-17,33086,34063,32842,33917,4882255,0.06768029716372337
51,2009-03-18,34210,34210,32646,33135,3956124,-0.023056284459120783
52,2009-03-19,34063,34112,31082,31376,5671278,-0.05308586087218958
53,2009-03-20,30936,31766,30642,31180,3073540,-0.0062468128505864815
54,2009-03-23,31473,32939,31375,32744,2404024,0.050160359204618254
55,2009-03-24,35090,35187,33868,34259,3991198,0.04626801856828733
56,2009-03-25,33770,34552,33281,34406,2108615,0.0042908432820572
57,2009-03-26,34210,35921,33966,35872,3902218,0.042608847294076664
58,2009-03-27,35921,36458,34992,35383,2827273,-0.01363180196253344
59,2009-03-30,34943,35090,33037,33038,2397373,-0.0662747647175197
60,2009-03-31,33233,33819,32206,32207,3147540,-0.02515285428900049
61,2009-04-01,33135,34259,32744,33673,3108388,0.04551805508119355
62,2009-04-02,34894,36165,34503,35970,4189551,0.0682148902681674
63,2009-04-03,36947,37289,36067,36947,3676473,0.02716152349179879
64,2009-04-06,36947,38511,36849,37045,2747019,0.0026524481013343593
65,2009-04-07,36409,37093,35872,36214,2385477,-0.02243217708192735
66,2009-04-08,35432,35676,34503,34553,2378356,-0.045866239575854666
67,2009-04-09,35041,37631,34992,37045,4266460,0.07212108934101248
68,2009-04-10,38853,39390,36703,37289,4871044,0.0065865838844647575
69,2009-04-13,37533,38315,36556,38218,2345871,0.02491351336855363
70,2009-04-14,38804,39244,37484,38365,3058152,0.003846355120623812
71,2009-04-15,37142,37533,36263,36654,2770311,-0.04459794083148705
72,2009-04-16,37533,38022,35969,36165,2637330,-0.013340972335897816
73,2009-04-17,36507,37289,35725,36165,2283781,0.0
74,2009-04-20,36654,37729,35969,37632,1677229,0.04056408129406885
75,2009-04-21,36409,37045,36018,36459,1810800,-0.03117028061224492
76,2009-04-22,37045,37484,36556,36898,1832673,0.012040922680270905
77,2009-04-23,37093,37142,35725,36605,2288016,-0.007940809799989124
78,2009-04-24,36849,37729,36312,37143,2572788,0.014697445704138891
79,2009-04-27,37045,37582,36165,36165,2217786,-0.026330667958969437
80,2009-04-28,36165,36654,34601,34602,2062793,-0.043218581501451636
81,2009-04-29,35041,36605,35041,36605,1463964,0.057886827351020236
82,2009-04-30,37582,39244,37387,38853,5097222,0.061412375358557585
83,2009-05-04,40466,44669,40270,44669,5674927,0.14969243044295166
